lat,lon
38.6892,-75.3592
35.9172,-75.7
36.8167,-76.0333
38.5,-77.3
34.6081,-79.0592
39.2833,-76.6167
39.95,-75.15
39.6728,-75.6008
32.78,-79.9319
36.2606,-76.175
38.52,-89.8467
36.6667,-87.4833
37.9,-85.9667
38.7642,-87.6056
38.2281,-85.6636
30.4167,-88.9167
32.0167,-81.1333
33.65,-88.45
32.35,-85
31.2819,-89.2531
33.4669,-82.0386
30.6264,-88.0681
31.3214,-85.4497
39.8333,-84.05
39.4203,-83.8217
30.0667,-85.5833
33.9667,-80.4667
30.9667,-83.2
30.4833,-86.5167
32.6333,-83.6
31.25,-82.4
32.3347,-88.7442
38.3794,-81.59
39.2811,-81.5572
31.5356,-84.1944
31.5358,-82.5067
33.5872,-85.8556
35.5953,-82.5567
33.9481,-83.3275
33.63,-84.4417
33.5656,-86.745
36.4731,-82.4044
31.1522,-81.3908
32.8986,-80.0403
35.2236,-80.9553
35.0311,-85.2014
33.9486,-81.1186
30.7797,-86.5225
34.8461,-82.3461
30.4844,-81.7019
35.8181,-83.9858
35.0564,-89.9864
30.6794,-88.2397
32.2997,-86.4075
34.7442,-87.5997
36.1189,-86.6892
30.4781,-87.1869
30.1831,-97.68
32.7667,-97.45
35.4167,-97.3833
38.9503,-95.6639
32.3367,-90.2214
38.7167,-93.55
37.1681,-97.0369
31.3928,-92.2956
33.4825,-90.9853
32.5156,-92.0406
32.5,-93.6667
32.4506,-93.8411
30.3208,-97.7603
31.6189,-97.2283
32.8519,-96.8556
32.8192,-97.3614
32.4106,-99.6822
34.7272,-92.2389
35.3331,-94.3625
33.9786,-98.4928
35.3889,-97.6006
36.1994,-95.8872
36.7367,-97.1019
30.5372,-91.1469
36.2667,-93.1567
32.3542,-95.4025
30.5108,-99.7664
36.2967,-99.7689
30.205,-91.9875
33.4536,-94.0075
33.4964,-90.0867
37.155,-98.0283
37.6703,-95.4842
39.5514,-97.6508
37.7608,-99.9683
38.0653,-97.8606
37.1467,-94.5022
39.1208,-94.5969
38.3306,-96.1897
39.1342,-93.2225
39.7736,-94.9233
38.7525,-90.3736
37.2353,-93.4003
39.0725,-95.6261
38.1311,-91.7683
44.3206,-69.7972
44.7978,-68.8186
46.8706,-68.0172
46.1236,-67.7928
45.6478,-68.6925
